Table,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48
REMOTE_IO_NETWORK_data,TYPE,,,,ATTRIBUTE NAME,ATTRIBUTE VALUE,PARENT OBJECT 1,PARENT OBJECT 1 NAME,PARENT OBJECT 2,PARENT OBJECT2 NAME,PARENT OBJECT 3,PARENT OBJECT3 NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHEMA_data,TYPE,,,,ATTRIBUTE NAME,ATTRIBUTE VALUE,PARENT OBJECT 1,PARENT OBJECT 1 NAME,PARENT OBJECT 2,PARENT OBJECT2 NAME,PARENT OBJECT 3,PARENT OBJECT3 NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SISNET_DOMAIN_data,TYPE,,,,ATTRIBUTE NAME,ATTRIBUTE VALUE,PARENT OBJECT 1,PARENT OBJECT 1 NAME,PARENT OBJECT 2,PARENT OBJECT2 NAME,PARENT OBJECT 3,PARENT OBJECT3 NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SITE_data,TYPE,,,,ATTRIBUTE NAME,ATTRIBUTE VALUE,PARENT OBJECT 1,PARENT OBJECT 1 NAME,PARENT OBJECT 2,PARENT OBJECT2 NAME,PARENT OBJECT 3,PARENT OBJECT3 NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLS_NETWORK_data,TYPE,,,,ATTRIBUTE NAME,ATTRIBUTE VALUE,PARENT OBJECT 1,PARENT OBJECT 1 NAME,PARENT OBJECT 2,PARENT OBJECT2 NAME,PARENT OBJECT 3,PARENT OBJECT3 NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNAPSHOT_VCR_data,TYPE,,,,ATTRIBUTE NAME,ATTRIBUTE VALUE,PARENT OBJECT 1,PARENT OBJECT 1 NAME,PARENT OBJECT 2,PARENT OBJECT2 NAME,PARENT OBJECT 3,PARENT OBJECT3 NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOFTWARE_LICENSE_BUNDLE_data,TYPE,,,,ATTRIBUTE NAME,ATTRIBUTE VALUE,PARENT OBJECT 1,PARENT OBJECT 1 NAME,PARENT OBJECT 2,PARENT OBJECT2 NAME,PARENT OBJECT 3,PARENT OBJECT3 NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYSTEM_BATCH_UNIT_SELECTION_POLICY_data,TYPE,,,,ATTRIBUTE NAME,ATTRIBUTE VALUE,PARENT OBJECT 1,PARENT OBJECT 1 NAME,PARENT OBJECT 2,PARENT OBJECT2 NAME,PARENT OBJECT 3,PARENT OBJECT3 NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tbl_Alarms_Ann_data,TYPE,,,,ATTRIBUTE NAME,ATTRIBUTE VALUE,PARENT OBJECT 1,PARENT OBJECT 1 NAME,PARENT OBJECT 2,PARENT OBJECT2 NAME,PARENT OBJECT 3,PARENT OBJECT3 NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tbl_Alarms_data,TYPE,,,,ATTRIBUTE NAME,ATTRIBUTE VALUE,PARENT OBJECT 1,PARENT OBJECT 1 NAME,PARENT OBJECT 2,PARENT OBJECT2 NAME,PARENT OBJECT 3,PARENT OBJECT3 NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tbl_Areas_data,TYPE,,,,ATTRIBUTE NAME,ATTRIBUTE VALUE,PARENT OBJECT 1,PARENT OBJECT 1 NAME,PARENT OBJECT 2,PARENT OBJECT2 NAME,PARENT OBJECT 3,PARENT OBJECT3 NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tbl_Batch_Class_data,TYPE,,,,ATTRIBUTE NAME,ATTRIBUTE VALUE,PARENT OBJECT 1,PARENT OBJECT 1 NAME,PARENT OBJECT 2,PARENT OBJECT2 NAME,PARENT OBJECT 3,PARENT OBJECT3 NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tbl_Batch_data,TYPE,,,,ATTRIBUTE NAME,ATTRIBUTE VALUE,PARENT OBJECT 1,PARENT OBJECT 1 NAME,PARENT OBJECT 2,PARENT OBJECT2 NAME,PARENT OBJECT 3,PARENT OBJECT3 NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tbl_Batch_Server_data,TYPE,,,,ATTRIBUTE NAME,ATTRIBUTE VALUE,PARENT OBJECT 1,PARENT OBJECT 1 NAME,PARENT OBJECT 2,PARENT OBJECT2 NAME,PARENT OBJECT 3,PARENT OBJECT3 NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tbl_BlockDef_data,TYPE,,,,ATTRIBUTE NAME,ATTRIBUTE VALUE,PARENT OBJECT 1,PARENT OBJECT 1 NAME,PARENT OBJECT 2,PARENT OBJECT2 NAME,PARENT OBJECT 3,PARENT OBJECT3 NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tbl_DefaultSecurity_data,TYPE,,,,ATTRIBUTE NAME,ATTRIBUTE VALUE,PARENT OBJECT 1,PARENT OBJECT 1 NAME,PARENT OBJECT 2,PARENT OBJECT2 NAME,PARENT OBJECT 3,PARENT OBJECT3 NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tbl_Enumeration_data,TYPE,,,,ATTRIBUTE NAME,ATTRIBUTE VALUE,PARENT OBJECT 1,PARENT OBJECT 1 NAME,PARENT OBJECT 2,PARENT OBJECT2 NAME,PARENT OBJECT 3,PARENT OBJECT3 NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tbl_IO_data,TYPE,,,,ATTRIBUTE NAME,ATTRIBUTE VALUE,PARENT OBJECT 1,PARENT OBJECT 1 NAME,PARENT OBJECT 2,PARENT OBJECT2 NAME,PARENT OBJECT 3,PARENT OBJECT3 NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tbl_Locks_data,TYPE,,,,ATTRIBUTE NAME,ATTRIBUTE VALUE,PARENT OBJECT 1,PARENT OBJECT 1 NAME,PARENT OBJECT 2,PARENT OBJECT2 NAME,PARENT OBJECT 3,PARENT OBJECT3 NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tbl_Modules_data,TYPE,,,,ATTRIBUTE NAME,ATTRIBUTE VALUE,PARENT OBJECT 1,PARENT OBJECT 1 NAME,PARENT OBJECT 2,PARENT OBJECT2 NAME,PARENT OBJECT 3,PARENT OBJECT3 NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tbl_ModulesClass_data,TYPE,,,,ATTRIBUTE NAME,ATTRIBUTE VALUE,PARENT OBJECT 1,PARENT OBJECT 1 NAME,PARENT OBJECT 2,PARENT OBJECT2 NAME,PARENT OBJECT 3,PARENT OBJECT3 NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tbl_Nodes_data,TYPE,,,,ATTRIBUTE NAME,ATTRIBUTE VALUE,PARENT OBJECT 1,PARENT OBJECT 1 NAME,PARENT OBJECT 2,PARENT OBJECT2 NAME,PARENT OBJECT 3,PARENT OBJECT3 NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tbl_Process_Cell_data,TYPE,,,,ATTRIBUTE NAME,ATTRIBUTE VALUE,PARENT OBJECT 1,PARENT OBJECT 1 NAME,PARENT OBJECT 2,PARENT OBJECT2 NAME,PARENT OBJECT 3,PARENT OBJECT3 NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tbl_Security_data,TYPE,,,,ATTRIBUTE NAME,ATTRIBUTE VALUE,PARENT OBJECT 1,PARENT OBJECT 1 NAME,PARENT OBJECT 2,PARENT OBJECT2 NAME,PARENT OBJECT 3,PARENT OBJECT3 NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tbl_Users_data,TYPE,,,,ATTRIBUTE NAME,ATTRIBUTE VALUE,PARENT OBJECT 1,PARENT OBJECT 1 NAME,PARENT OBJECT 2,PARENT OBJECT2 NAME,PARENT OBJECT 3,PARENT OBJECT3 NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNALLOCATED_DEVICE_data,TYPE,,,,ATTRIBUTE NAME,ATTRIBUTE VALUE,PARENT OBJECT 1,PARENT OBJECT 1 NAME,PARENT OBJECT 2,PARENT OBJECT2 NAME,PARENT OBJECT 3,PARENT OBJECT3 NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIRELESS_GATEWAY_NETWORK_data,TYPE,,,,ATTRIBUTE NAME,ATTRIBUTE VALUE,PARENT OBJECT 1,PARENT OBJECT 1 NAME,PARENT OBJECT 2,PARENT OBJECT2 NAME,PARENT OBJECT 3,PARENT OBJECT3 NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
